id,district,latitude,longitude,crop_type,soil_type,field_area_ha,season,avg_temp_c,total_rainfall_mm,soil_water_retention_mm,fertilizer_type,fertilizer_amount_kg_ha,yield_ton_per_ha,water_requirement_liters_day
1,Sargodha,32.0836,72.6711,gram,sandy loam,7.46,Rabi,19.9,127.7,100,NPK,202,1.7,142195
2,Swabi,34.1202,72.4697,gram,loamy sand,6.58,Rabi,18.9,136.1,85,FYM,230,1.8,113955
3,Rahim Yar Khan,28.4209,70.2952,date palm,desert sand,7.43,Perennial,33.6,92.0,70,DAP,178,8.4,85816
4,Mianwali,32.5833,71.5375,cotton,sandy loam,2.86,Kharif,27.1,243.6,130,None,0,2.5,46520
5,Swat,35.2217,72.4252,maize,sandy loam,1.81,Kharif,27.5,313.8,108,Urea,182,4.0,20851
6,Abbottabad,34.1463,73.2117,cotton,loam,3.24,Kharif,28.8,321.9,156,None,0,2.8,50544
7,Multan,30.1575,71.5249,rice,clay,4.5,Kharif,33.6,594.2,252,None,0,4.3,119340
8,Gujranwala,32.1877,74.1945,apple orchard,loam,8.11,Perennial,12.6,512.7,183,DAP,170,9.0,92454
9,Haripur,33.9962,72.9338,wheat,loam,7.21,Rabi,16.4,249.4,172,FYM,311,3.1,122155
10,Sheikhupura,31.7131,73.9783,cotton,sandy loam,1.55,Kharif,29.4,318.6,120,None,0,1.6,19344
11,Khuzdar,27.8,66.6167,tobacco,silty loam,9.78,Kharif,24.8,321.3,162,None,0,2.4,135551
12,Mansehra,34.3332,73.1992,rice,clay,2.82,Kharif,30.2,593.4,296,DAP,123,4.4,74786
13,Chitral,35.8512,71.7864,apple orchard,rocky loam,2.16,Perennial,10.6,595.0,133,FYM,306,7.2,22162
14,Larkana,27.5609,68.2066,rice,clay,9.9,Kharif,34.5,648.6,289,None,0,3.5,262548
15,Bannu,32.9886,70.6055,maize,sandy loam,2.78,Kharif,27.1,293.3,114,NPK,219,4.4,32026
16,Kasur,31.1155,74.4466,rice,clay loam,6.1,Kharif,34.8,711.1,245,Urea,154,3.9,149328
17,Attock,33.7731,72.3744,rice,clay loam,8.26,Kharif,34.4,682.8,235,None,0,3.8,202205
