id,district,latitude,longitude,crop_type,soil_type,field_area_ha,season,avg_temp_c,total_rainfall_mm,fertilizer_type,motor_type,motor_power_hp,flow_rate_lpm,yield_ton_per_ha,water_requirement_liters,irrigation_hours
1,Gujranwala,32.1877,74.1945,maize,loam,30.22,Kharif,27.1,281.0,DAP,Mega,40,1200,4.1,14505600,201.5
2,Sheikhupura,31.7131,73.9783,cotton,loam,19.77,Kharif,32.3,345.4,Urea,Extra Heavy,30,900,1.5,10280400,190.4
3,Sheikhupura,31.7131,73.9783,wheat,loam,30.93,Rabi,19.3,211.2,FYM,Mega,40,1200,3.1,13918500,193.3
4,Okara,30.8103,73.4513,maize,loam,14.11,Kharif,27.7,367.7,None,Heavy,20,600,3.6,6772800,188.1
5,Gujrat,32.5742,74.0754,sugarcane,clay loam,1.31,Kharif,27.1,441.0,FYM,Small,3,60,57.8,982500,272.9
6,Karachi,24.8607,67.0011,maize,loam,12.45,Kharif,27.9,277.9,NPK,Heavy,20,600,3.1,5976000,166.0
7,Islamabad,33.6844,73.0479,maize,loam,3.5,Kharif,28.3,341.3,DAP,Medium,5,120,3.6,1680000,233.3
8,Rawalpindi,33.5651,73.0169,sugarcane,clay loam,15.7,Kharif,25.7,545.0,DAP,Extra Heavy,30,900,59.5,11775000,218.1
9,Lahore,31.5204,74.3587,wheat,clay loam,5.29,Rabi,18.5,366.1,NPK,Upper Medium,7,200,4.2,2380500,198.4
10,Islamabad,33.6844,73.0479,potato,sandy loam,33.57,Rabi,23.5,274.8,DAP,Mega,40,1200,3.4,13428000,186.5
11,Sialkot,32.4922,74.5311,wheat,loam,16.64,Rabi,19.9,382.4,NPK,Extra Heavy,30,900,3.4,7488000,138.7
12,Rawalpindi,33.5651,73.0169,sugarcane,loam,39.69,Kharif,30.2,551.1,FYM,Mega,40,1200,54.8,29767500,413.4
13,Sukkur,27.7132,68.8482,gram,loamy sand,21.73,Rabi,21.4,162.0,Urea,Extra Heavy,30,900,2.0,7605500,140.8
14,Lahore,31.5204,74.3587,cotton,loam,41.07,Kharif,30.0,191.0,FYM,Ultra,50,1500,2.1,21356400,237.3
15,Okara,30.8103,73.4513,maize,loam,21.04,Kharif,29.9,263.6,None,Extra Heavy,30,900,3.1,10099200,187.0
16,Multan,30.1575,71.5249,rice,clay,35.49,Kharif,34.8,553.7,None,Mega,40,1200,3.6,24133200,335.2
17,Islamabad,33.6844,73.0479,sugarcane,loam,12.93,Kharif,25.7,427.7,FYM,Heavy,20,600,57.2,9697500,269.4
18,Sukkur,27.7132,68.8482,rice,clay,16.67,Kharif,34.0,643.5,NPK,Extra Heavy,30,900,4.0,11335600,209.9
19,Peshawar,34.0151,71.5249,potato,loam,36.06,Rabi,23.8,292.8,FYM,Mega,40,1200,2.5,14424000,200.3
20,Sukkur,27.7132,68.8482,maize,sandy loam,18.96,Kharif,29.8,402.7,NPK,Extra Heavy,30,900,4.3,9100800,168.5
21,Gujranwala,32.1877,74.1945,sugarcane,clay loam,43.04,Kharif,33.8,412.2,NPK,Ultra,50,1500,63.9,32280000,358.7
22,Sahiwal,30.6705,73.1063,wheat,silty loam,33.98,Rabi,18.5,361.0,FYM,Mega,40,1200,3.2,15291000,212.4
23,Bahawalpur,29.3956,71.6836,potato,loam,25.34,Rabi,23.4,292.4,Urea,Mega,40,1200,3.1,10136000,140.8
24,Peshawar,34.0151,71.5249,wheat,clay loam,30.93,Rabi,18.9,238.1,None,Mega,40,1200,4.0,13918500,193.3
25,Faisalabad,31.4504,73.135,rice,clay,30.97,Kharif,32.7,681.3,None,Mega,40,1200,4.5,21059600,292.5
26,Lahore,31.5204,74.3587,cotton,loam,0.95,Kharif,29.1,162.8,Urea,Very Small,2,40,2.1,494000,205.8
27,Rahim Yar Khan,28.4209,70.2952,sugarcane,loam,36.39,Kharif,28.0,589.3,NPK,Mega,40,1200,62.6,27292500,379.1
28,Sukkur,27.7132,68.8482,potato,sandy loam,33.02,Rabi,17.2,245.4,Urea,Mega,40,1200,2.6,13208000,183.4
29,Sargodha,32.0836,72.6711,wheat,loam,33.78,Rabi,19.6,249.8,DAP,Mega,40,1200,3.5,15201000,211.1
30,Lahore,31.5204,74.3587,rice,clay,21.21,Kharif,33.4,684.1,DAP,Extra Heavy,30,900,3.7,14422800,267.1
31,Multan,30.1575,71.5249,cotton,sandy loam,27.64,Kharif,25.8,167.5,DAP,Mega,40,1200,3.0,14372800,199.6
32,Karachi,24.8607,67.0011,cotton,sandy loam,49.5,Kharif,31.7,346.6,Urea,Ultra,50,1500,2.0,25740000,286.0
33,Gujranwala,32.1877,74.1945,rice,clay,18.13,Kharif,26.7,777.9,DAP,Extra Heavy,30,900,4.2,12328400,228.3
34,Kasur,31.1155,74.4466,sugarcane,loam,36.93,Kharif,31.3,503.5,NPK,Mega,40,1200,64.7,27697500,384.7
35,Lahore,31.5204,74.3587,cotton,loam,24.47,Kharif,32.8,242.4,None,Extra Heavy,30,900,2.7,12724400,235.6
36,Rahim Yar Khan,28.4209,70.2952,wheat,silty loam,1.97,Rabi,20.6,246.9,None,Small,3,60,3.7,886500,246.2
37,Lahore,31.5204,74.3587,maize,sandy loam,41.76,Kharif,28.7,466.5,NPK,Ultra,50,1500,4.4,20044800,222.7
38,Gujranwala,32.1877,74.1945,sugarcane,loam,32.03,Kharif,26.3,477.0,FYM,Mega,40,1200,50.2,24022500,333.6
